time;program;event;period;
21568.186011;swapper;task-clock;1000000;
21568.186677;perf;branches;928149;
21568.186686;perf;instructions;4993273;
21568.186751;perf;task-clock;1000000;
21568.186846;swapper;task-clock;1000000;
21568.187011;swapper;task-clock;1000000;
21568.18739;perf;context-switches;10;
21568.187451;perf;branches;990283;
21568.187483;perf;cycles;4235951;
21568.187535;perf;instructions;5213592;
21568.187751;perf;task-clock;1000000;
21568.187822;perf;branch-misses;19766;
21568.187847;swapper;task-clock;1000000;
21568.18801;swapper;task-clock;1000000;
21568.188435;perf;branches;1026345;
21568.188553;perf;instructions;5330427;
21568.188751;perf;task-clock;1000000;
21568.188845;swapper;task-clock;1000000;
21568.188905;perf;cycles;4045483;
21568.189011;swapper;task-clock;1000000;
21568.189309;perf;branches;1028540;
21568.189506;perf;instructions;5318469;
21568.189738;perf;branch-misses;18422;
21568.189752;perf;task-clock;1000000;
21568.189846;swapper;task-clock;1000000;
21568.18998;perf;page-faults;1;
21568.189993;perf;page-faults;1;
21568.190002;perf;page-faults;1;
21568.190008;perf;page-faults;11;
21568.190012;swapper;task-clock;1000000;
21568.190207;perf;cpu-migrations;1;
21568.190258;perf;cpu-migrations;1;
21568.190309;perf;cpu-migrations;1;
21568.190349;perf;cycles;8616769;
21568.190392;perf;context-switches;70;
21568.190398;perf;page-faults;151;
21568.190403;perf;cpu-migrations;1;
21568.190517;swapper;cycles;3895475;
21568.190764;swapper;task-clock;1000000;
21568.190844;burner;task-clock;1000000;
21568.19101;swapper;task-clock;1000000;
21568.191039;burner;cycles;3665054;
21568.191248;perf;cpu-migrations;1;
21568.191299;sshd;cpu-migrations;1;
21568.191384;ktpacpi_nvramd;cpu-migrations;1;
21568.191396;rcu_sched;cpu-migrations;1;
21568.191762;swapper;task-clock;1000000;
21568.191847;swapper;task-clock;1000000;
21568.191888;burner;instructions;2001060;
21568.191933;burner;branches;427972;
21568.192009;burner;task-clock;1000000;
21568.192502;burner;instructions;2001060;
21568.192782;swapper;task-clock;1000000;
21568.192863;swapper;task-clock;1000000;
21568.193009;burner;task-clock;1000000;
21568.193151;burner;instructions;2158188;
21568.193258;burner;branches;427972;
21568.193775;swapper;task-clock;1000000;
21568.19381;burner;instructions;2304084;
21568.193861;swapper;task-clock;1000000;
21568.194008;burner;task-clock;1000000;
21568.194098;burner;cycles;7570655;
21568.194467;burner;instructions;2453349;
21568.194499;burner;branches;414838;
21568.19478;swapper;task-clock;1000000;
21568.194866;swapper;task-clock;1000000;
21568.195008;burner;task-clock;1000000;
21568.195148;burner;instructions;2613134;
21568.195237;burner;branches;404759;
21568.19539;swapper;context-switches;14;
21568.1954;perf;cpu-migrations;1;
21568.195404;rcu_sched;cpu-migrations;1;
21568.195585;burner;branches;419805;
21568.195676;burner;instructions;2845399;
21568.195775;swapper;task-clock;1000000;
21568.195861;swapper;task-clock;1000000;
21568.195953;burner;branches;518196;
21568.196008;burner;task-clock;1000000;
21568.196255;burner;instructions;3162837;
21568.196362;burner;branches;629425;
21568.196661;burner;cycles;6382119;
21568.196779;swapper;task-clock;1000000;
21568.196862;swapper;task-clock;1000000;
21568.196893;burner;branches;743173;
21568.196896;burner;instructions;3450942;
21568.197008;burner;task-clock;1000000;
21568.197495;burner;branches;824996;
21568.197545;acpid;cpu-migrations;2;
21568.197581;burner;instructions;3691601;
21568.197601;Xorg;cpu-migrations;1;
21568.197643;burner;cpu-migrations;21;
21568.197762;swapper;task-clock;1000000;
21568.197848;burner;task-clock;1000000;
21568.198008;burner;task-clock;1000000;
21568.198019;burner;branches;338848;
21568.198174;burner;branches;893407;
21568.198305;burner;instructions;3904484;
